pid,count,mean,std,min,0.25,0.5,0.75,max,no_min_moves
pid=53,100,4.26,0.69077617,4,4,4,4,7,87
pid=73,100,4.19,0.614554121,4,4,4,4,7,91
pid=69,100,4.45,1.048086279,4,4,4,4,10,81
pid=80,100,4.25,0.978299907,4,4,4,4,10,93
pid=64,100,5.1,0.89329715,4,5,5,5,9,15
pid=70,100,4.32,0.789834403,4,4,4,4,8,85
pid=50,100,4.33,0.943398113,4,4,4,4,10,86
pid=83,100,4.12,0.477366513,4,4,4,4,6,94
pid=67,100,4.29,0.700576963,4,4,4,4,6,85
pid=66,100,4.19,0.646591686,4,4,4,4,8,91
pid=82,100,4.3,0.881917104,4,4,4,4,10,87
pid=51,100,4.31,0.734365665,4,4,4,4,7,84
pid=71,100,4.15,0.592461054,4,4,4,4,8,93
pid=68,100,4.3,0.784959627,4,4,4,4,7,86
pid=65,100,4.21,0.686007333,4,4,4,4,8,90
pid=81,100,5.3,2.346284404,4,4,4,6,16,64
pid=72,100,4.15,0.5198096,4,4,4,4,6,92
pid=52,100,4.33,0.865208564,4,4,4,4,9,85
pid=87,100,4.29,0.756053015,4,4,4,4,7,86
pid=63,100,4.18,0.641651909,4,4,4,4,8,92
pid=59,100,4.3,0.758786911,4,4,4,4,8,85
pid=79,100,4.22,0.675397376,4,4,4,4,7,90
pid=54,100,4.14,0.5128648,4,4,4,4,6,93
pid=74,100,4.75,2.289082565,4,4,4,4,24,76
pid=84,100,4.47,1.242797431,4,4,4,4,13,82
pid=60,100,4.46,1.402883034,4,4,4,4,15,85
pid=89,100,4.21,0.700576963,4,4,4,4,8,91
pid=77,100,4.3,0.915633026,4,4,4,4,10,88
pid=57,100,4.29,0.7692972,4,4,4,4,8,86
pid=56,100,5.43,3.349219719,4,4,4,5,22,65
pid=76,100,4.32,0.802521279,4,4,4,4,8,85
pid=61,100,4.31,0.917781691,4,4,4,4,10,87
pid=85,100,4.28,0.766469013,4,4,4,4,8,87
pid=88,100,4.23,0.7501515,4,4,4,4,8,90
pid=78,100,4.36,0.915853634,4,4,4,4,10,83
pid=58,100,4.25,0.845367651,4,4,4,4,10,90
pid=75,100,4.28,0.667877688,4,4,4,4,6,84
pid=55,100,4.45,1.02863055,4,4,4,4,10,81
pid=62,100,4.34,0.901401826,4,4,4,4,8,86
pid=86,100,4.36,0.882146143,4,4,4,4,8,84
,,4.3,0.79,4,4,4,4,8,86
,,mean,std,min,0.25,0.5,0.75,max,no_min_moves
