pid,count,mean,std,min,0.25,0.5,0.75,max,no_min_moves
pid=56,100,32.31,50.07099909,5,5,5,18.5,214,51
pid=76,100,5.46,1.13190641,5,5,5,5,11,82
pid=61,100,5.16,0.59831413,5,5,5,5,9,92
pid=85,100,5.16,0.545319849,5,5,5,5,8,91
pid=88,100,5.32,0.839432228,5,5,5,5,9,85
pid=78,100,5.3,0.83484711,5,5,5,5,10,86
pid=58,100,5.22,0.628932075,5,5,5,5,7,89
pid=75,100,5.29,0.67112148,5,5,5,5,7,83
pid=55,100,5.37,0.883690608,5,5,5,5,9,83
pid=62,100,5.34,0.87870428,5,5,5,5,9,85
pid=86,100,5.46,1.242512931,5,5,5,5,15,79
pid=87,100,6.74,4.56296023,5,5,5,7,32,64
pid=63,100,5.27,0.679497735,5,5,5,5,8,85
pid=59,100,5.89,2.173741363,5,5,5,6,19,74
pid=79,100,5.23,0.633333333,5,5,5,5,7,88
pid=54,100,6.56,3.571265797,5,5,5,7,24,66
pid=74,100,5.25,0.625630995,5,5,5,5,7,85
pid=84,100,5.4,0.921132373,5,5,5,5,9,80
pid=60,100,5.21,0.655897873,5,5,5,5,9,89
pid=89,100,5.29,0.7823172,5,5,5,5,9,87
pid=77,100,5.25,0.770346898,5,5,5,5,10,89
pid=57,100,5.38,0.82608973,5,5,5,5,9,80
pid=66,100,5.32,0.827311576,5,5,5,5,9,85
pid=82,100,5.19,0.646591686,5,5,5,5,9,91
pid=51,100,5.25,0.891882585,5,5,5,5,11,91
pid=71,100,5.31,0.734365665,5,5,5,5,8,83
pid=68,100,5.3,0.810287391,5,5,5,5,9,86
pid=65,100,5.35,0.85723304,5,5,5,5,9,83
pid=81,100,5.26,0.660884012,5,5,5,5,7,86
pid=72,100,5.21,0.67112148,5,5,5,5,9,89
pid=52,100,5.95,2.516109712,5,5,5,5,22,77
pid=53,100,5.74,2.500989703,5,5,5,5,20,81
pid=73,100,5.26,0.905873093,5,5,5,5,10,90
pid=69,100,5.33,1.163892806,5,5,5,5,15,86
pid=80,100,5.3,0.758786911,5,5,5,5,9,84
pid=64,100,6.69,3.389511451,5,5,5,7,27,64
pid=70,100,5.43,1.103300833,5,5,5,5,11,84
pid=50,100,5.3,0.784959627,5,5,5,5,9,86
pid=83,100,5.35,0.85723304,5,5,5,5,9,84
pid=67,100,6.09,3.452696209,5,5,5,5,30,80
