pid,count,mean,std,min,0.25,0.5,0.75,max,no_min_moves
pid=62,100,6.2,0.568535244,6,6,6,6,8,88
pid=86,100,6.25,0.672324477,6,6,6,6,9,87
pid=78,100,6.34,0.755050336,6,6,6,6,9,82
pid=58,100,6.55,1.19235782,6,6,6,6.25,13,75
pid=75,100,7.95,4.695527638,6,6,6,8,46,59
pid=55,100,6.37,0.939105528,6,6,6,6,11,85
pid=61,100,6.3,0.784959627,6,6,6,6,10,85
pid=85,100,6.21,0.67112148,6,6,6,6,10,90
pid=88,100,6.27,0.814700788,6,6,6,6,10,88
pid=56,100,8.82,6.825945748,6,6,6,8,59,60
pid=76,100,6.38,1.098943478,6,6,6,6,15,82
pid=77,100,6.36,0.810536672,6,6,6,6,10,81
pid=57,100,7.92,4.246638599,6,6,6,8,31,67
pid=84,100,6.4,0.994936676,6,6,6,6,11,84
pid=60,100,6.26,0.733333333,6,6,6,6,10,88
pid=89,100,7.41,3.156186806,6,6,6,8,24,68
pid=59,100,12.2,17.73770737,6,6,6,8,106,67
pid=79,100,6.25,0.672324477,6,6,6,6,9,87
pid=54,100,6.39,0.851558286,6,6,6,6,10,81
pid=74,100,6.47,0.968754277,6,6,6,6,10,79
pid=87,100,6.31,0.720479638,6,6,6,6,9,83
pid=63,100,6.4,0.963998407,6,6,6,6,11,81
pid=72,100,6.14,0.449915817,6,6,6,6,8,90
pid=52,100,6.85,0.957427108,6,6,7,7,11,39
pid=68,100,6.36,0.904757348,6,6,6,6,10,84
pid=65,100,9.15,14.93783414,6,6,6,8,148,67
pid=81,100,6.85,6.215612471,6,6,6,6,68,88
pid=51,100,6.41,0.80522285,6,6,6,6,8,79
pid=71,100,6.38,0.972137081,6,6,6,6,10,84
pid=66,100,6.54,1.766237798,6,6,6,6,15,88
pid=82,100,6.38,0.838228049,6,6,6,6,10,79
pid=83,100,6.37,0.928287225,6,6,6,6,10,85
pid=67,100,6.22,0.612661028,6,6,6,6,8,88
pid=70,100,6.56,1.437731097,6,6,6,6,16,82
pid=50,100,6.64,1.150493965,6,6,6,8,12,72
pid=69,100,6.45,0.936089006,6,6,6,6,10,80
pid=80,100,7.35,0.808727645,7,7,7,7,11,0
pid=64,100,6.38,0.861992055,6,6,6,6,10,80
pid=53,100,8.1,5.636282176,6,6,6,8,42,64
pid=73,100,8.08,18.19406052,6,6,6,6,188,89
