pid,count,mean,std,min,0.25,0.5,0.75,max,no_min_moves
pid=88,100,6.56,1.328171828,6,6,6,6,13,81
pid=85,100,7.02,0.898708389,6,7,7,7,11,23
pid=61,100,6.23,0.776615293,6,6,6,6,12,88
pid=76,100,6.67,1.746887564,6,6,6,6,17,81
pid=56,100,6.27,0.722719332,6,6,6,6,10,86
pid=86,100,6.58,1.093414631,6,6,6,6,10,76
pid=62,100,6.36,0.83508906,6,6,6,6,9,83
pid=55,100,6.47,1.058443683,6,6,6,6,12,78
pid=75,100,6.94,2.343355101,6,6,6,6,20,76
pid=58,100,6.39,0.777135377,6,6,6,6,9,77
pid=78,100,6.29,0.795124029,6,6,6,6,10,86
pid=74,100,7,1.901620787,6,6,6,8,18,65
pid=54,100,6.44,1.037868834,6,6,6,6,12,80
pid=79,100,6.53,1.095952148,6,6,6,6,12,76
pid=59,100,8.37,3.454334124,6,6,7,10,21,47
pid=63,100,6.35,0.833333333,6,6,6,6,10,84
pid=87,100,6.25,0.796139676,6,6,6,6,10,90
pid=57,100,9.3,11.64066366,6,6,6,8,101,60
pid=77,100,6.34,0.741551745,6,6,6,6,8,82
pid=89,100,7.32,2.15031123,6,6,6,8,19,51
pid=60,100,6.43,0.945537098,6,6,6,6,11,81
pid=84,100,6.56,2.315167381,6,6,6,6,28,82
pid=71,100,6.27,0.722719332,6,6,6,6,10,86
pid=51,100,6.4,0.876171654,6,6,6,6,10,80
pid=82,100,6.52,1.019803903,6,6,6,7,11,74
pid=66,100,6.67,1.663967511,6,6,6,6,15,78
pid=52,100,6.32,0.874787131,6,6,6,6,11,86
pid=72,100,6.34,0.806789372,6,6,6,6,10,83
pid=81,100,6.49,0.999949494,6,6,6,6,10,78
pid=65,100,6.3,0.758786911,6,6,6,6,10,84
pid=68,100,6.45,0.903137069,6,6,6,6,10,78
pid=64,100,6.42,0.830966335,6,6,6,6,9,79
pid=80,100,6.33,0.752839742,6,6,6,6,9,82
pid=69,100,6.44,0.988008915,6,6,6,6,11,80
pid=73,100,6.31,0.906709001,6,6,6,6,10,87
pid=53,100,6.57,1.401694501,6,6,6,6,15,78
pid=67,100,6.32,0.750488057,6,6,6,6,9,83
pid=83,100,7.79,4.238579427,6,6,6,8,43,60
pid=50,100,7.57,1.525904269,6,7,7,7,19,2
pid=70,100,8.06,2.813459713,6,6,7,9,19,42
